userId	geneSymbol	geneName	entrezgene	score	gLink
AAAS	AAAS	aladin WD repeat nucleoporin	8086	2.8075554197548916e-6	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	1.600799477011194e-7	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	9.696338899193083e-6	https://www.ncbi.nlm.nih.gov/gene/?term=13
AAK1	AAK1	AP2 associated kinase 1	22848	2.0976608513422452e-4	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	4.707539792006304e-7	https://www.ncbi.nlm.nih.gov/gene/?term=14
AARS	AARS	alanyl-tRNA synthetase	16	5.090943070143808e-6	https://www.ncbi.nlm.nih.gov/gene/?term=16
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	7.477172442093976e-7	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	6.819531933588083e-6	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	1.301852484794726e-6	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	5.8397775918130105e-5	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	2.7255771490119845e-8	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	3.948914077524195e-5	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	6.094416955802895e-5	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	6.192109031210175e-6	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	0	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	0	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	1.5260469108484138e-6	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22	0	https://www.ncbi.nlm.nih.gov/gene/?term=22
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	5.17670421401017e-7	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	7.288272345213904e-7	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	1.3422282630112437e-7	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	0	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	1.2711985540162125e-7	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC8	ABCC8	ATP binding cassette subfamily C member 8	6833	4.4876467379712795e-7	https://www.ncbi.nlm.nih.gov/gene/?term=6833
ABCD1	ABCD1	ATP binding cassette subfamily D member 1	215	2.658838858684829e-6	https://www.ncbi.nlm.nih.gov/gene/?term=215
ABCD3	ABCD3	ATP binding cassette subfamily D member 3	5825	7.297214795946602e-6	https://www.ncbi.nlm.nih.gov/gene/?term=5825
ABCD4	ABCD4	ATP binding cassette subfamily D member 4	5826	1.37235876128712e-7	https://www.ncbi.nlm.nih.gov/gene/?term=5826
ABCE1	ABCE1	ATP binding cassette subfamily E member 1	6059	2.2570230102979248e-6	https://www.ncbi.nlm.nih.gov/gene/?term=6059
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23	1.2740624235497138e-6	https://www.ncbi.nlm.nih.gov/gene/?term=23
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061	4.82546382703783e-8	https://www.ncbi.nlm.nih.gov/gene/?term=10061
ABCF3	ABCF3	ATP binding cassette subfamily F member 3	55324	0	https://www.ncbi.nlm.nih.gov/gene/?term=55324
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	3.6468327292199294e-5	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	1.4559202622697996e-6	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABCG5	ABCG5	ATP binding cassette subfamily G member 5	64240	7.122179899043462e-7	https://www.ncbi.nlm.nih.gov/gene/?term=64240
ABHD1	ABHD1	abhydrolase domain containing 1	84696	4.076090000233143e-7	https://www.ncbi.nlm.nih.gov/gene/?term=84696
ABHD10	ABHD10	abhydrolase domain containing 10	55347	1.2824542258350642e-5	https://www.ncbi.nlm.nih.gov/gene/?term=55347
ABHD11	ABHD11	abhydrolase domain containing 11	83451	8.52069609497433e-6	https://www.ncbi.nlm.nih.gov/gene/?term=83451
ABHD13	ABHD13	abhydrolase domain containing 13	84945	1.8767066763196561e-7	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD14A	ABHD14A	abhydrolase domain containing 14A	25864	0	https://www.ncbi.nlm.nih.gov/gene/?term=25864
