userId	geneSymbol	geneName	entrezgene	score	gLink
AAAS	AAAS	aladin WD repeat nucleoporin	8086	0.0023617478044248782	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	5.299120789682902e-4	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	0.002756245519231017	https://www.ncbi.nlm.nih.gov/gene/?term=13
AAK1	AAK1	AP2 associated kinase 1	22848	0.012954609576734392	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	8.656012914139387e-4	https://www.ncbi.nlm.nih.gov/gene/?term=14
AARS	AARS	alanyl-tRNA synthetase	16	0.0014637858043739784	https://www.ncbi.nlm.nih.gov/gene/?term=16
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	0.0014055064804821239	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	0.0018923472891830993	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	0.002914598110937138	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	0.3311979863811759	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	4.3655647756028754e-4	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	0.005716151577600252	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.007404652909097336	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	0.0023869995442494132	https://www.ncbi.nlm.nih.gov/gene/?term=23461
